method,dataset,pattern,ratio,rmse,mae,mape,crps
csdi_ori,ett,time,0.1,0.7194404318691765,0.3311660748602288,103869.0788271298,0.054250240325927734
fadti,ett,time,0.5,0.9567338130897157,0.42641248250435576,127848.60056271103,0.06674149161890934
csdi_ori,ett,time,0.1,0.7927846255999788,0.3850750079244029,350974.05350832915,0.051342390085521494
ftcsdi,ett,time,0.1,0.7256330534822115,0.3571791554989687,371870.5648977789,0.04732051962300351
ftcsdi,ett,point,0.1,0.30451747064864015,0.1851019945250421,96639.63260241912,0.030004153126164487
ftcsdi,ett,point,0.5,0.3924452551362018,0.22270196100439166,352693.09856396867,0.037949364436300176
csdi,ett,point,0.5,0.627645175871745,0.30701007449358897,183749.38472259228,0.04029784390800878
fadti,ett,time,0.1,0.9180903912061879,0.3760667154785741,74998.3923945051,0.05794554635098106
csdi_ori,ett,point,0.5,0.6200291173478402,0.28990272224070257,129412.57777200101,0.04427086679559005
csdi,ett,point,0.1,0.37219352838579695,0.19749208722683304,71368.36403081036,0.03010184827603792
fadti,ett,time,0.1,0.791698027203589,0.3626665730599139,400915.77627934125,0.04812613913887426
csdi,ett,time,0.1,0.6859366679794064,0.3420037623659686,11745.098586576916,0.034169758621015046
fadti,ett,time,0.5,1.1278213243485862,0.40884577352719864,19865.78480538141,0.04210057070380763
csdi_ori,ett,time,0.5,0.9313309155371204,0.4381436416294683,305228.2709682675,0.05802121915315327
csdi,ett,time,0.1,0.6706172949550525,0.32807424568457366,129226.88847003863,0.05354894462384676
csdi,ett,time,0.5,0.9643684774457371,0.44762357720882373,296792.1319809361,0.059624891532094854
csdi_ori,ett,point,0.5,0.41512847860554136,0.23543655094216448,457576.2441253264,0.04006867973428024
ftcsdi,ett,time,0.1,0.5055712374495633,0.269951778630889,333480.72188293346,0.0458640456199646
fadti,ett,time,0.5,0.7407615919817695,0.35608499454566717,190494.60197881973,0.0582307263424522
fadti,ett,time,0.1,0.7776719387620527,0.31589563093024176,8454.409135340147,0.03231863912783171
csdi_ori,ett,time,0.1,0.5029659554485371,0.2819291868877521,377722.2204890363,0.04831997971785696
csdi,ett,time,0.1,0.5043434922555766,0.283241562569543,383438.45432329684,0.0483901720297964
ftcsdi,ett,time,0.1,0.6491791486532744,0.31222397461795337,115882.03997678618,0.051194758791672554
fadti,ett,time,0.5,0.8954288481646099,0.4127316379154756,309934.63847814576,0.055072859713905735
csdi,ett,point,0.5,0.6429860802346712,0.29561758880062233,132860.44767786702,0.045108205393741004
ftcsdi,ett,point,0.1,0.3630159898009545,0.20229422769332855,120764.97087848841,0.02608010957115575
fadti,ett,point,0.5,0.4931354033466792,0.25323779934477997,162750.01932292312,0.04131210164019936
ftcsdi,ett,time,0.5,0.9658363775333931,0.4309404559354686,135379.57733831208,0.06690864813955207
csdi,ett,time,0.5,1.0077374287963727,0.45447330335722275,132399.07543598796,0.0703630572871158
csdi,ett,point,0.5,0.5155985308140868,0.2612939962173549,162987.64927619344,0.04245708804381521
fadti,ett,point,0.1,0.26719047010646935,0.17374254264589264,250493.3105920918,0.029359858287008184
csdi_ori,ett,point,0.1,0.8685281933078919,0.29919991093068243,4438.518815989335,0.030071289915787548
ftcsdi,ett,time,0.1,0.5019279692355766,0.2884841618465969,7635.965645659268,0.02897483424136513
csdi,ett,point,0.1,2.0778257585802113,0.46055124061272235,5893.891272635537,0.04892369320518092
csdi,ett,point,0.5,0.4132048144184512,0.232086352206397,415056.8550913838,0.03952937377126593
ftcsdi,ett,time,0.5,0.6088322503101868,0.3412451785465234,21589.283986149476,0.03467583028893722
csdi,ett,point,0.1,0.42599552016008585,0.22862365163270906,143718.02358276772,0.02969096208873548
fadti,ett,point,0.1,0.35330867439952235,0.19698013492125843,133724.60064148388,0.02549938622273897
csdi_ori,ett,point,0.5,0.5135673119998433,0.2628347454916063,174522.42693369155,0.042727112770080566
csdi_ori,ett,point,0.1,0.4209030424606977,0.22357586085674963,155908.7305361305,0.028872232688100713
csdi,ett,point,0.1,0.3174710832436946,0.190922213227481,109047.53314490814,0.030863228597139056
csdi_ori,ett,time,0.1,0.9815885125591745,0.4124191000372889,90004.72524081437,0.06285222580558375
